02105,Hoonah-Angoon Census Area,AK,2139,2117,2147,2149,2130,2159,2145,2145
02110,Juneau City and Borough,AK,31394,32162,32395,32570,32490,32612,32405,32094
02122,Kenai Peninsula Borough,AK,55561,56304,56910,56993,57585,58067,58543,58617
02130,Ketchikan Gateway Borough,AK,13544,13644,13700,13682,13780,13680,13727,13856
02150,Kodiak Island Borough,AK,13652,13820,14054,14078,13906,13753,13679,13448
02158,Kusilvak Census Area,AK,7466,7649,7790,7970,8105,8200,8161,8202
02164,Lake and Peninsula Borough,AK,1639,1648,1647,1663,1647,1595,1602,1620
02170,Matanuska-Susitna Borough,AK,89738,91721,93681,95853,98104,101064,104123,106532
02180,Nome Census Area,AK,9543,9775,9816,9844,9798,9869,9915,9921
02185,North Slope Borough,AK,9477,9549,9692,9776,9763,9780,9685,9782
02188,Northwest Arctic Borough,AK,7559,7705,7707,7721,7756,7752,7662,7684
02195,Petersburg Borough,AK,3219,3253,3279,3287,3265,3263,3278,3281
02198,Prince of Wales-Hyder Census Area,AK,6215,6376,6424,6446,6462,6505,6507,6443
02220,Sitka City and Borough,AK,8883,8888,9022,8962,8844,8786,8768,8689
02230,Skagway Municipality,AK,968,962,999,1024,1052,1086,1130,1157
02240,Southeast Fairbanks Census Area,AK,7061,7149,7172,6980,6929,6807,6840,6888
02261,Valdez-Cordova Census Area,AK,9657,9742,9735,9773,9478,9327,9340,9278
02275,Wrangell City and Borough,AK,2371,2394,2424,2451,2446,2456,2502,2521
02282,Yakutat City and Borough,AK,662,656,664,651,655,635,612,605
02290,Yukon-Koyukuk Census Area,AK,5613,5631,5624,5561,5463,5463,5412,5365
04001,Apache County,AZ,71838,72179,72215,72292,71762,70979,71373,71606
04003,Cochise County,AZ,131782,132952,131826,129332,127054,126084,125355,124756
04005,Coconino County,AZ,134612,134181,136002,136448,137209,138682,140079,140776
04007,Gila County,AZ,53572,53422,52973,52982,53008,52935,53297,53501
04009,Graham County,AZ,37158,37124,37009,37419,38064,37786,37767,37466
04011,Greenlee County,AZ,8332,8569,8744,8892,9319,9549,9623,9455
04012,La Paz County,AZ,20492,20582,20492,20479,20442,20342,20523,20601
04013,Maricopa County,AZ,3824644,3869626,3939776,4006307,4076708,4154076,4233383,4307033
04015,Mohave County,AZ,200315,202733,203262,203026,203320,204524,205385,207200
04017,Navajo County,AZ,107695,107518,107268,107077,107613,107543,108322,108956
04019,Pima County,AZ,981540,987297,991528,994759,1000916,1005323,1012519,1022769
04021,Pinal County,AZ,379504,378226,381910,384258,394004,404069,415115,430237
04023,Santa Cruz County,AZ,47425,47615,47292,46845,46468,46191,46075,46212
04025,Yavapai County,AZ,210969,210883,211809,214198,217509,220621,224363,228168
04027,Yuma County,AZ,197124,202581,202105,201810,203039,203558,205463,207534
05001,Arkansas County,AR,19016,18869,18957,18746,18484,18350,18215,17967
05003,Ashley County,AR,21833,21673,21518,21281,20958,20837,20498,20283
05005,Baxter County,AR,41511,41341,41076,40976,40871,41118,41145,41355
05007,Benton County,AR,222558,228827,234315,238902,244192,251016,258704,266300
05009,Boone County,AR,36882,37063,37308,37305,37090,37091,37191,37381
05011,Bradley County,AR,11472,11425,11262,11120,11007,10998,10979,10864
05013,Calhoun County,AR,5362,5243,5278,5193,5168,5201,5162,5247
05015,Carroll County,AR,27546,27448,27595,27771,27715,27751,27728,27944
05017,Chicot County,AR,11799,11693,11486,11347,11187,10957,10912,10636
05019,Clark County,AR,22927,22918,22745,22574,22551,22506,22550,22293
05021,Clay County,AR,16049,15872,15706,15481,15295,15197,15057,14920
05023,Cleburne County,AR,26003,25890,25773,25638,25603,25358,25159,25048
05025,Cleveland County,AR,8678,8672,8607,8515,8397,8284,8260,8202
05027,Columbia County,AR,24722,24682,24373,24247,24014,24089,23983,23627
05029,Conway County,AR,21217,21115,21127,21071,20977,20912,20895,20916
05031,Craighead County,AR,96737,98310,99854,101513,102526,104297,105781,107115
05033,Crawford County,AR,61969,61799,61901,61664,61797,61877,62259,62996
